,author,title,body,date,rating,helpful
769,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
770,,Item as described,Item as described,2018-10-29,5,0
771,,Love love love,Love love love it!!!!,2018-10-29,5,0
772,,Easy yo use,Love it,2018-10-29,5,0
773,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
774,,good price,It is what i was looking,2018-10-29,5,0
775,,Ease of use.,Continuous improvement,2018-10-29,5,0
776,,Five Stars,Good item,2018-10-29,5,0
777,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
778,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
779,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
780,,Item as described,Item as described,2018-10-29,5,0
781,,Love love love,Love love love it!!!!,2018-10-29,5,0
782,,Easy yo use,Love it,2018-10-29,5,0
783,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
784,,good price,It is what i was looking,2018-10-29,5,0
785,,Ease of use.,Continuous improvement,2018-10-29,5,0
786,,Five Stars,Good item,2018-10-29,5,0
787,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
788,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
789,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
790,,Item as described,Item as described,2018-10-29,5,1
791,,Love love love,Love love love it!!!!,2018-10-29,5,1
792,,Easy yo use,Love it,2018-10-29,5,1
793,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
794,,good price,It is what i was looking,2018-10-29,5,1
795,,Ease of use.,Continuous improvement,2018-10-29,5,1
796,,Five Stars,Good item,2018-10-29,5,1
797,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
798,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
799,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
800,,Item as described,Item as described,2018-10-29,5,0
801,,Love love love,Love love love it!!!!,2018-10-29,5,0
802,,Easy yo use,Love it,2018-10-29,5,0
803,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
804,,good price,It is what i was looking,2018-10-29,5,0
805,,Ease of use.,Continuous improvement,2018-10-29,5,0
806,,Five Stars,Good item,2018-10-29,5,0
807,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
808,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
809,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
810,,Item as described,Item as described,2018-10-29,5,0
811,,Love love love,Love love love it!!!!,2018-10-29,5,0
812,,Easy yo use,Love it,2018-10-29,5,0
813,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
814,,good price,It is what i was looking,2018-10-29,5,0
815,,Ease of use.,Continuous improvement,2018-10-29,5,0
816,,Five Stars,Good item,2018-10-29,5,0
817,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
818,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
819,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
820,,Item as described,Item as described,2018-10-29,5,1
821,,Love love love,Love love love it!!!!,2018-10-29,5,1
822,,Easy yo use,Love it,2018-10-29,5,1
823,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
824,,good price,It is what i was looking,2018-10-29,5,1
825,,Ease of use.,Continuous improvement,2018-10-29,5,1
826,,Five Stars,Good item,2018-10-29,5,1
827,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
828,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
829,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
830,,Item as described,Item as described,2018-10-29,5,1
831,,Love love love,Love love love it!!!!,2018-10-29,5,1
832,,Easy yo use,Love it,2018-10-29,5,1
833,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
834,,good price,It is what i was looking,2018-10-29,5,1
835,,Ease of use.,Continuous improvement,2018-10-29,5,1
836,,Five Stars,Good item,2018-10-29,5,1
837,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
838,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
839,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
840,,Item as described,Item as described,2018-10-29,5,1
841,,Love love love,Love love love it!!!!,2018-10-29,5,1
842,,Easy yo use,Love it,2018-10-29,5,1
843,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
844,,good price,It is what i was looking,2018-10-29,5,1
845,,Ease of use.,Continuous improvement,2018-10-29,5,1
846,,Five Stars,Good item,2018-10-29,5,1
847,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
848,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
849,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
850,,Item as described,Item as described,2018-10-29,5,1
851,,Love love love,Love love love it!!!!,2018-10-29,5,1
852,,Easy yo use,Love it,2018-10-29,5,1
853,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
854,,good price,It is what i was looking,2018-10-29,5,1
855,,Ease of use.,Continuous improvement,2018-10-29,5,1
856,,Five Stars,Good item,2018-10-29,5,1
857,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
858,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
859,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
860,,Item as described,Item as described,2018-10-29,5,0
861,,Love love love,Love love love it!!!!,2018-10-29,5,0
862,,Easy yo use,Love it,2018-10-29,5,0
863,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
864,,good price,It is what i was looking,2018-10-29,5,0
865,,Ease of use.,Continuous improvement,2018-10-29,5,0
866,,Five Stars,Good item,2018-10-29,5,0
867,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
868,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
869,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
870,,Item as described,Item as described,2018-10-29,5,0
871,,Love love love,Love love love it!!!!,2018-10-29,5,0
872,,Easy yo use,Love it,2018-10-29,5,0
873,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
874,,good price,It is what i was looking,2018-10-29,5,0
875,,Ease of use.,Continuous improvement,2018-10-29,5,0
876,,Five Stars,Good item,2018-10-29,5,0
877,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
878,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
879,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
880,,Item as described,Item as described,2018-10-29,5,0
881,,Love love love,Love love love it!!!!,2018-10-29,5,0
882,,Easy yo use,Love it,2018-10-29,5,0
883,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
884,,good price,It is what i was looking,2018-10-29,5,0
885,,Ease of use.,Continuous improvement,2018-10-29,5,0
886,,Five Stars,Good item,2018-10-29,5,0
887,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
888,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
889,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
890,,Item as described,Item as described,2018-10-29,5,0
891,,Love love love,Love love love it!!!!,2018-10-29,5,0
892,,Easy yo use,Love it,2018-10-29,5,0
893,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
894,,good price,It is what i was looking,2018-10-29,5,0
895,,Ease of use.,Continuous improvement,2018-10-29,5,0
896,,Five Stars,Good item,2018-10-29,5,0
897,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
898,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
899,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
900,,Item as described,Item as described,2018-10-29,5,1
901,,Love love love,Love love love it!!!!,2018-10-29,5,1
902,,Easy yo use,Love it,2018-10-29,5,1
903,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
904,,good price,It is what i was looking,2018-10-29,5,1
905,,Ease of use.,Continuous improvement,2018-10-29,5,1
906,,Five Stars,Good item,2018-10-29,5,1
907,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
908,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
909,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
910,,Item as described,Item as described,2018-10-29,5,0
911,,Love love love,Love love love it!!!!,2018-10-29,5,0
912,,Easy yo use,Love it,2018-10-29,5,0
913,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
914,,good price,It is what i was looking,2018-10-29,5,0
915,,Ease of use.,Continuous improvement,2018-10-29,5,0
916,,Five Stars,Good item,2018-10-29,5,0
917,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
918,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
919,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
920,,Item as described,Item as described,2018-10-29,5,0
921,,Love love love,Love love love it!!!!,2018-10-29,5,0
922,,Easy yo use,Love it,2018-10-29,5,0
923,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
924,,good price,It is what i was looking,2018-10-29,5,0
925,,Ease of use.,Continuous improvement,2018-10-29,5,0
926,,Five Stars,Good item,2018-10-29,5,0
927,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
928,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
929,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
930,,Item as described,Item as described,2018-10-29,5,1
931,,Love love love,Love love love it!!!!,2018-10-29,5,1
932,,Easy yo use,Love it,2018-10-29,5,1
933,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
934,,good price,It is what i was looking,2018-10-29,5,1
935,,Ease of use.,Continuous improvement,2018-10-29,5,1
936,,Five Stars,Good item,2018-10-29,5,1
937,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
938,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
939,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
940,,Item as described,Item as described,2018-10-29,5,0
941,,Love love love,Love love love it!!!!,2018-10-29,5,0
942,,Easy yo use,Love it,2018-10-29,5,0
943,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
944,,good price,It is what i was looking,2018-10-29,5,0
945,,Ease of use.,Continuous improvement,2018-10-29,5,0
946,,Five Stars,Good item,2018-10-29,5,0
947,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
948,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
949,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
950,,Item as described,Item as described,2018-10-29,5,0
951,,Love love love,Love love love it!!!!,2018-10-29,5,0
952,,Easy yo use,Love it,2018-10-29,5,0
953,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
954,,good price,It is what i was looking,2018-10-29,5,0
955,,Ease of use.,Continuous improvement,2018-10-29,5,0
956,,Five Stars,Good item,2018-10-29,5,0
957,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
958,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
959,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
960,,Item as described,Item as described,2018-10-29,5,1
961,,Love love love,Love love love it!!!!,2018-10-29,5,1
962,,Easy yo use,Love it,2018-10-29,5,1
963,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
964,,good price,It is what i was looking,2018-10-29,5,1
965,,Ease of use.,Continuous improvement,2018-10-29,5,1
966,,Five Stars,Good item,2018-10-29,5,1
967,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
968,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
969,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
970,,Item as described,Item as described,2018-10-29,5,0
971,,Love love love,Love love love it!!!!,2018-10-29,5,0
972,,Easy yo use,Love it,2018-10-29,5,0
973,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
974,,good price,It is what i was looking,2018-10-29,5,0
975,,Ease of use.,Continuous improvement,2018-10-29,5,0
976,,Five Stars,Good item,2018-10-29,5,0
977,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
978,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
979,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
980,,Item as described,Item as described,2018-10-29,5,1
981,,Love love love,Love love love it!!!!,2018-10-29,5,1
982,,Easy yo use,Love it,2018-10-29,5,1
983,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
984,,good price,It is what i was looking,2018-10-29,5,1
985,,Ease of use.,Continuous improvement,2018-10-29,5,1
986,,Five Stars,Good item,2018-10-29,5,1
987,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
988,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
989,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
990,,Item as described,Item as described,2018-10-29,5,1
991,,Love love love,Love love love it!!!!,2018-10-29,5,1
992,,Easy yo use,Love it,2018-10-29,5,1
993,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
994,,good price,It is what i was looking,2018-10-29,5,1
995,,Ease of use.,Continuous improvement,2018-10-29,5,1
996,,Five Stars,Good item,2018-10-29,5,1
997,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
998,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
999,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
1000,,Item as described,Item as described,2018-10-29,5,1
1001,,Love love love,Love love love it!!!!,2018-10-29,5,1
1002,,Easy yo use,Love it,2018-10-29,5,1
1003,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
1004,,good price,It is what i was looking,2018-10-29,5,1
1005,,Ease of use.,Continuous improvement,2018-10-29,5,1
1006,,Five Stars,Good item,2018-10-29,5,1
1007,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
1008,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
1009,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
1010,,Item as described,Item as described,2018-10-29,5,0
1011,,Love love love,Love love love it!!!!,2018-10-29,5,0
1012,,Easy yo use,Love it,2018-10-29,5,0
1013,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
1014,,good price,It is what i was looking,2018-10-29,5,0
1015,,Ease of use.,Continuous improvement,2018-10-29,5,0
1016,,Five Stars,Good item,2018-10-29,5,0
1017,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
1018,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
1019,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
1020,,Item as described,Item as described,2018-10-29,5,1
1021,,Love love love,Love love love it!!!!,2018-10-29,5,1
1022,,Easy yo use,Love it,2018-10-29,5,1
1023,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
1024,,good price,It is what i was looking,2018-10-29,5,1
1025,,Ease of use.,Continuous improvement,2018-10-29,5,1
1026,,Five Stars,Good item,2018-10-29,5,1
1027,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
1028,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
1029,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
1030,,Item as described,Item as described,2018-10-29,5,1
1031,,Love love love,Love love love it!!!!,2018-10-29,5,1
1032,,Easy yo use,Love it,2018-10-29,5,1
1033,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
1034,,good price,It is what i was looking,2018-10-29,5,1
1035,,Ease of use.,Continuous improvement,2018-10-29,5,1
1036,,Five Stars,Good item,2018-10-29,5,1
1037,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
1038,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
1039,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
1040,,Item as described,Item as described,2018-10-29,5,0
1041,,Love love love,Love love love it!!!!,2018-10-29,5,0
1042,,Easy yo use,Love it,2018-10-29,5,0
1043,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
1044,,good price,It is what i was looking,2018-10-29,5,0
1045,,Ease of use.,Continuous improvement,2018-10-29,5,0
1046,,Five Stars,Good item,2018-10-29,5,0
1047,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
1048,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
1049,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
1050,,Item as described,Item as described,2018-10-29,5,0
1051,,Love love love,Love love love it!!!!,2018-10-29,5,0
1052,,Easy yo use,Love it,2018-10-29,5,0
1053,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
1054,,good price,It is what i was looking,2018-10-29,5,0
1055,,Ease of use.,Continuous improvement,2018-10-29,5,0
1056,,Five Stars,Good item,2018-10-29,5,0
1057,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
1058,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
1059,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
1060,,Item as described,Item as described,2018-10-29,5,0
1061,,Love love love,Love love love it!!!!,2018-10-29,5,0
1062,,Easy yo use,Love it,2018-10-29,5,0
1063,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
1064,,good price,It is what i was looking,2018-10-29,5,0
1065,,Ease of use.,Continuous improvement,2018-10-29,5,0
1066,,Five Stars,Good item,2018-10-29,5,0
1067,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
1068,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
1069,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
1070,,Item as described,Item as described,2018-10-29,5,1
1071,,Love love love,Love love love it!!!!,2018-10-29,5,1
1072,,Easy yo use,Love it,2018-10-29,5,1
1073,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
1074,,good price,It is what i was looking,2018-10-29,5,1
1075,,Ease of use.,Continuous improvement,2018-10-29,5,1
1076,,Five Stars,Good item,2018-10-29,5,1
1077,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
1078,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
1079,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
1080,,Item as described,Item as described,2018-10-29,5,0
1081,,Love love love,Love love love it!!!!,2018-10-29,5,0
1082,,Easy yo use,Love it,2018-10-29,5,0
1083,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
1084,,good price,It is what i was looking,2018-10-29,5,0
1085,,Ease of use.,Continuous improvement,2018-10-29,5,0
1086,,Five Stars,Good item,2018-10-29,5,0
1087,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
1088,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
1089,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
1090,,Item as described,Item as described,2018-10-29,5,0
1091,,Love love love,Love love love it!!!!,2018-10-29,5,0
1092,,Easy yo use,Love it,2018-10-29,5,0
1093,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
1094,,good price,It is what i was looking,2018-10-29,5,0
1095,,Ease of use.,Continuous improvement,2018-10-29,5,0
1096,,Five Stars,Good item,2018-10-29,5,0
1097,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
1098,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
1099,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
1100,,Item as described,Item as described,2018-10-29,5,1
1101,,Love love love,Love love love it!!!!,2018-10-29,5,1
1102,,Easy yo use,Love it,2018-10-29,5,1
1103,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
1104,,good price,It is what i was looking,2018-10-29,5,1
1105,,Ease of use.,Continuous improvement,2018-10-29,5,1
1106,,Five Stars,Good item,2018-10-29,5,1
1107,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
1108,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
1109,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
1110,,Item as described,Item as described,2018-10-29,5,0
1111,,Love love love,Love love love it!!!!,2018-10-29,5,0
1112,,Easy yo use,Love it,2018-10-29,5,0
1113,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
1114,,good price,It is what i was looking,2018-10-29,5,0
1115,,Ease of use.,Continuous improvement,2018-10-29,5,0
1116,,Five Stars,Good item,2018-10-29,5,0
1117,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
1118,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
1119,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
1120,,Item as described,Item as described,2018-10-29,5,1
1121,,Love love love,Love love love it!!!!,2018-10-29,5,1
1122,,Easy yo use,Love it,2018-10-29,5,1
1123,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
1124,,good price,It is what i was looking,2018-10-29,5,1
1125,,Ease of use.,Continuous improvement,2018-10-29,5,1
1126,,Five Stars,Good item,2018-10-29,5,1
1127,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
1128,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
1129,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
1130,,Item as described,Item as described,2018-10-29,5,1
1131,,Love love love,Love love love it!!!!,2018-10-29,5,1
1132,,Easy yo use,Love it,2018-10-29,5,1
1133,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
1134,,good price,It is what i was looking,2018-10-29,5,1
1135,,Ease of use.,Continuous improvement,2018-10-29,5,1
1136,,Five Stars,Good item,2018-10-29,5,1
1137,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
1138,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
1139,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
1140,,Item as described,Item as described,2018-10-29,5,1
1141,,Love love love,Love love love it!!!!,2018-10-29,5,1
1142,,Easy yo use,Love it,2018-10-29,5,1
1143,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
1144,,good price,It is what i was looking,2018-10-29,5,1
1145,,Ease of use.,Continuous improvement,2018-10-29,5,1
1146,,Five Stars,Good item,2018-10-29,5,1
1147,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
1148,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
1149,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
1150,,Item as described,Item as described,2018-10-29,5,0
1151,,Love love love,Love love love it!!!!,2018-10-29,5,0
1152,,Easy yo use,Love it,2018-10-29,5,0
1153,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
1154,,good price,It is what i was looking,2018-10-29,5,0
1155,,Ease of use.,Continuous improvement,2018-10-29,5,0
1156,,Five Stars,Good item,2018-10-29,5,0
1157,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
1158,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
